company_name,high,low,last_price,prev_close,change,percent_gain
Bajaj Finserv,"17,141.50","15,930.00","16,860.95","15,915.75",945.2,5.94
Bajaj Finance,"7,638.00","7,296.00","7,555.45","7,286.10",269.35,3.7
HDFC Life,591.70,570.00,588.65,570.60,18.05,3.16
Hero Motocorp,"2,929.00","2,808.05","2,904.65","2,817.00",87.65,3.11
Hindalco,442.40,426.60,440.15,428.90,11.25,2.62
Tech Mahindra,"1,106.90","1,072.20","1,105.10","1,077.70",27.4,2.54
Bharti Airtel,721.50,702.30,720.50,704.10,16.4,2.33
HCL Tech,981.75,955.00,980.00,958.20,21.8,2.28
BPCL,355.25,347.00,353.45,345.90,7.55,2.18
NTPC,163.65,159.00,161.45,158.75,2.7,1.7
Wipro,444.90,436.65,443.80,437.10,6.7,1.53
Grasim,"1,638.95","1,596.05","1,615.60","1,591.55",24.05,1.51
TATA Cons. Prod,794.00,780.50,790.00,779.50,10.5,1.35
Eicher Motors,"3,433.30","3,335.10","3,382.50","3,338.05",44.45,1.33
HUL,"2,694.00","2,644.50","2,677.85","2,644.50",33.35,1.26
Sun Pharma,926.00,915.00,924.45,914.60,9.85,1.08
Asian Paints,"3,545.65","3,504.60","3,535.30","3,501.00",34.3,0.98
Axis Bank,773.75,766.25,771.30,764.65,6.65,0.87
ITC,313.25,311.00,312.70,310.55,2.15,0.69
Dr Reddys Labs,"4,329.90","4,291.75","4,324.40","4,297.80",26.6,0.62
Divis Labs,"3,777.50","3,740.00","3,754.95","3,732.00",22.95,0.61
Reliance,"2,676.90","2,655.55","2,666.85","2,651.30",15.55,0.59
Infosys,"1,612.00","1,585.00","1,605.00","1,596.45",8.55,0.54
Power Grid Corp,230.95,228.55,229.80,228.85,0.95,0.42
HDFC,"2,495.00","2,444.05","2,493.70","2,484.15",9.55,0.38
SBI,530.55,524.35,527.85,525.95,1.9,0.36
TCS,"3,417.95","3,371.10","3,405.00","3,392.70",12.3,0.36
UPL,793.70,783.85,791.30,788.55,2.75,0.35
HDFC Bank,"1,507.95","1,485.75","1,507.25","1,502.15",5.1,0.34
Adani Ports,831.95,821.15,826.70,824.15,2.55,0.31
IndusInd Bank,"1,095.00","1,082.00","1,087.70","1,084.45",3.25,0.3
ICICI Bank,885.50,878.40,881.50,879.25,2.25,0.26
Britannia,"3,714.95","3,681.15","3,699.60","3,690.45",9.15,0.25
Larsen,"1,867.35","1,850.05","1,853.10","1,848.90",4.2,0.23
Nestle,"19,843.95","19,669.20","19,698.75","19,682.95",15.8,0.08
